Patronyme,patronyme_prepare,domaine d'activité,image,langue maternelle,lieu de mort,lieu de naissance,occupation,pays de nationalité,sexe ou genre,date de naissance,date de mort
JEAN-CLAUDE MARIN,JEANCLAUDE MARIN,,,,,,,,,,
EMILE JEAN COLIN,EMILE JEAN COLIN,,,,,,,,,,
MAURICE LOCQUIN,Maurice Locquin,,,,Sondernach,Nevers,artiste peintre,France,masculin,1885-09-15T00:00:00Z,1915-06-23T00:00:00Z
COURS,COURS,,,,,,,,,,
JEAN BERNIGAUD,JEAN BERNIGAUD,,,,,,,,,,
ANDRE CLOIX,ANDRE CLOIX,,,,,,,,,,
VICTOR VASARELY,Victor Vasarely,art,Victor Vasarely.jpg,hongrois,16e arrondissement de Paris,Pécs,artiste peintre,Hongrie,masculin,1906-04-09T00:00:00Z,1997-03-15T00:00:00Z
ECOLE LOUIS FREBAULT,LOUIS FREBAULT,,,,,,,,,,
L'OREE DU BOIS,L'OREE DU BOIS,,,,,,,,,,
LA CLAIRIERE  RENE COTY,LA CLAIRIERE  RENE COTY,,,,,,,,,,
FREDERIC LEBLANC,Frédéric Leblanc,,,,,,,,masculin,,
CHANCELIER ROLIN,CHANCELIER ROLIN,,,,,,,,,,
EC. PRIMAIRE S.MARIE ST J-BAPT,EC.  S.MARIE ST JBAPT,,,,,,,,,,
EC. PRIMAIRE MARIE-EUSTELLE,EC.  MARIEEUSTELLE,,,,,,,,,,
EMILAND GAUTHEY,Émiland Gauthey,,Gauthey literoj.jpg,,Paris,Chalon-sur-Saône,architecte,France,masculin,1732-12-03T00:00:00Z,1806-07-14T00:00:00Z
LES TROIS PRES,LES TROIS PRES,,,,,,,,,,
RENE PICARD,RENE PICARD,,,,,,,,,,
LES ROUGES MOULINS,LES ROUGES MOULINS,,,,,,,,,,
QUATRE CLOCHERS,QUATRE CLOCHERS,,,,,,,,,,
LIBERTE EGALITE FRATERNITE,LIBERTE EGALITE FRATERNITE,,,,,,,,,,
FONTAINE AU LOUP,FONTAINE AU LOUP,,,,,,,,,,
LANGEVIN-MICHEL,LANGEVINMICHEL,,,,,,,,,,
LOUIS DE BROGLIE,LOUIS DE BROGLIE,,,,,,,,,,
LA BUISSONNIERE,LA BUISSONNIERE,,,,,,,,,,
SUZANNE LEFEVRE,SUZANNE LEFEVRE,,,,,,,,,,
CHARLES MOUCHEL,Charles Mouchel,,Charlesmouchel.png,,Elbeuf,Elbeuf,personnalité politique,France,masculin,1855-02-04T00:00:00Z,1911-10-22T00:00:00Z
ROSE DUCHEMIN,Rose Duchemin,,,,,,,,féminin,1793-01-01T00:00:00Z,1866-01-01T00:00:00Z
LES PEPINIERES,LES PEPINIERES,,,,,,,,,,
COCAGNE,COCAGNE,,,,,,,,,,
YVONNE SILLIERE,YVONNE SILLIERE,,,,,,,,,,
LES MINOISEAUX,LES MINOISEAUX,,,,,,,,,,
ECOLE DU MARRONNIER,DU MARRONNIER,,,,,,,,,,
LOUP COUCOU,LOUP COUCOU,,,,,,,,,,
JEAN DE LA VARENDE,Jean de La Varende,,J. de La Varende.jpg,français,Paris,château de Bonneville,écrivain ou écrivaine,France,masculin,1887-05-24T00:00:00Z,1959-06-08T00:00:00Z
BERNARD GAUVAIN,BERNARD GAUVAIN,,,,,,,,,,
MARIE THERESE FAINSTEIN,MARIE THERESE FAINSTEIN,,,,,,,,,,
PIERREVILLE,PIERREVILLE,,,,,,,,,,
DE LA VALLEE,DE LA VALLEE,,,,,,,,,,
LA CARAVELLE,LA CARAVELLE,,,,,,,,,,
FRANCOIS HULIN,FRANCOIS HULIN,,,,,,,,,,
PIERRE CAHUET,PIERRE CAHUET,,,,,,,,,,
SAINT VICTRICE,SAINT VICTRICE,,,,,,,,,,
ANDRE MALLET,André Mallet,,,,,,,France,,,
HAMEAU DE GIGNY,HAMEAU DE GIGNY,,,,,,,,,,
SAINT-COEUR,SAINTCOEUR,,,,,,,,,,
BLANCHES FLEURS,BLANCHES FLEURS,,,,,,,,,,
LE MANOIR DU VENT,LE MANOIR DU VENT,,,,,,,,,,
SAINTE THERESE D'AVILA,Thérèse d’Avila,religious reformer,Santa Teresa de Jesús (Museo del Prado).jpg,espagnol,monastère de l'Annonciation de Notre-Dame des Carmes Déchaussées d'Alba de Tormes,Ávila,écrivain ou écrivaine,Espagne,féminin,1515-03-28T00:00:00Z,1582-10-15T00:00:00Z
FRANCOIS CODET,François Codet,,,,Bois-Guillaume,Saint-Brieuc,personnalité politique,France,masculin,1903-04-13T00:00:00Z,1962-10-31T00:00:00Z
EDMEE HATINGUAIS,Edmée Hatinguais,,,,Garches,Bolbec,professeur de lettres,France,féminin,1896-07-24T00:00:00Z,1972-10-31T00:00:00Z
JEAN DES VIGNES,JEAN DES VIGNES,,,,,,,,,,
THOMAS CORNEILLE,Thomas Corneille,,Thomas Corneille - Versailles MV 2933.jpg,français,Les Andelys,Rouen,linguiste,France,masculin,1625-08-20T00:00:00Z,1709-12-08T00:00:00Z
M.P.PREVEL,M.P.PREVEL,,,,,,,,,,
AMIRAL COURBET,Amédée Courbet,,Amédée Courbet Appert BNF Gallica.jpg,,Magong,Abbeville,militaire,France,masculin,1827-06-26T00:00:00Z,1885-06-11T00:00:00Z
SAINT-BERNARD,SAINTBERNARD,,,,,,,,,,
EN SAINT JACQUES,EN SAINT JACQUES,,,,,,,,,,
BOURDENIERE,BOURDENIERE,,,,,,,,,,
LOUIS COMBES,LOUIS COMBES,,,,,,,,,,
ANDREE CANDELLIER,ANDREE CANDELLIER,,,,,,,,,,
JEAN-BAPTISTE DE LA SALLE,JEANBAPTISTE DE LA SALLE,,,,,,,,,,
MAURICE DECORDE,MAURICE DECORDE,,,,,,,,,,
CHARLES CALMETTE,CHARLES CALMETTE,,,,,,,,,,
PETIT CITEAUX,PETIT CITEAUX,,,,,,,,,,
HENRI RIBIERE,Henri Ribière,,Henri Ribière.jpg,français,Paris,Montluçon,personnalité politique,France,masculin,1897-12-27T00:00:00Z,1956-04-25T00:00:00Z
ERNEST CRETAY,ERNEST CRETAY,,,,,,,,,,
BEAUMARCHAIS,Pierre-Augustin Caron de Beaumarchais,spectacle vivant,"D'après Jean-Marc Nattier, Portrait de Pierre-Augustin Caron de Beaumarchais (Bibliothèque-musée de la Comédie-Française) -001.jpg",français,ancien 8e arrondissement de Paris,rue Saint-Denis,musicien ou musicienne,France,masculin,1732-01-24T00:00:00Z,1799-05-18T00:00:00Z
PAUL ET VIRGINIE,PAUL ET VIRGINIE,,,,,,,,,,
ANJOU,Piotr Fiodorovitch Anjou,,Pyotr Anjou.jpeg,,Saint-Pétersbourg,Vychni Volotchek,explorateur ou exploratrice,Empire russe,masculin,1796-02-15T00:00:00Z,1869-10-12T00:00:00Z
APPLICATION PETIT BERNARD,APPLICATION PETIT BERNARD,,,,,,,,,,
JEAN-BAPTISTE MASSILLON,JEANBAPTISTE MASSILLON,,,,,,,,,,
ELISABETH DE LA TRINITE,ELISABETH DE LA TRINITE,,,,,,,,,,
CHAMPOLLION,Jean-François Champollion,hiéroglyphes égyptiens,Leon Cogniet - Jean-Francois Champollion.jpg,,Paris,Figeac,égyptologue,France,masculin,1790-12-23T00:00:00Z,1832-03-04T00:00:00Z
DENISE CARPENTIER,DENISE CARPENTIER,,,,,,,,,,
CHARLES VICTOIRE,CHARLES VICTOIRE,,,,,,,,,,
MARGUERITE MULLER,MARGUERITE MULLER,,,,,,,,,,
SAINT-FRANCOIS-DE-SALES,SAINTFRANCOISDESALES,,,,,,,,,,
LOUIS BLANC,LOUIS BLANC,,,,,,,,,,
LOUISE MICHEL I,LOUISE MICHEL I,,,,,,,,,,
LA PROVIDENCE-NAZARETH,LA PROVIDENCENAZARETH,,,,,,,,,,
HENRI WALLON II,HENRI WALLON II,,,,,,,,,,
PRIMEVERE,PRIMEVERE,,,,,,,,,,
MALADIERE,MALADIERE,,,,,,,,,,
FRANCIS CARCO II,FRANCIS CARCO II,,,,,,,,,,
HAUTS DE MONTCHAPET,HAUTS DE MONTCHAPET,,,,,,,,,,
FRANCOIS RASPAIL,François-Vincent Raspail,,François Vincent Raspail Neurdein Gallica.jpg,français,Arcueil,Carpentras,chimiste,France,masculin,1794-01-25T00:00:00Z,1878-01-07T00:00:00Z
ALPHONSE ALLAIS,Alphonse Allais,,Alphonse Allais Late 19th Century Posters.jpg,français,Paris,Honfleur,écrivain ou écrivaine,France,masculin,1854-10-20T00:00:00Z,1905-10-28T00:00:00Z
JEAN-PIERRE HALM,JEANPIERRE HALM,,,,,,,,,,
THEOPHILE GAUTIER I,THEOPHILE GAUTIER I,,,,,,,,,,
JEAN LORRAIN,Jean Lorrain,,"Antonio de La Gandara - Portrait de Jean Lorrain (1855-1906), écrivain - P1818 - Musée Carnavalet (cropped).jpg",français,Paris,Fécamp,poète ou poétesse,France,masculin,1855-08-09T00:00:00Z,1906-06-30T00:00:00Z
BERNARD BUCAILLE,BERNARD BUCAILLE,,,,,,,,,,
LES RAINETTES,LES RAINETTES,,,,,,,,,,
PIERRE GIFFARD,PIERRE GIFFARD,,,,,,,,,,
PETITS MOTS PASSANTS,PETITS MOTS PASSANTS,,,,,,,,,,
R.P.I. JEAN-PHILIPPE RAMEAU,R.P.I. JEANPHILIPPE RAMEAU,,,,,,,,,,
JEAN SAVIGNY,JEAN SAVIGNY,,,,,,,,,,
CHEVREUL - GAY,CHEVREUL  GAY,,,,,,,,,,
DES P'TITES GOMMES,DES P'TITES GOMMES,,,,,,,,,,
GASTON ROUPNEL,Gaston Roupnel,histoire,,,Gevrey-Chambertin,Laissey,historien ruraliste,France,masculin,1871-09-23T00:00:00Z,1946-05-14T00:00:00Z
DE GOURNAY,DE GOURNAY,,,,,,,,,,
NESTOR BREART,NESTOR BREART,,,,,,,,,,
DU CLAIRVAL,DU CLAIRVAL,,,,,,,,,,
SAINTE ISABELLE,SAINTE ISABELLE,,,,,,,,,,
JEAN EFFEL,Jean Effel,,Jean Effel dans V du 13 octobre 1946.png,,7e arrondissement de Paris,17e arrondissement de Paris,caricaturiste,France,masculin,1908-02-12T00:00:00Z,1982-10-10T00:00:00Z
LUCIE DELARUE MARDRUS,Lucie Delarue-Mardrus,,Lucie Delarue-Mardrus by Henri Manuel.jpg,français,Château-Gontier,Honfleur,poète ou poétesse,France,féminin,1874-11-03T00:00:00Z,1945-04-26T00:00:00Z
ANDRE TAVERNIER,ANDRE TAVERNIER,,,,,,,,,,
PAUL COLNET,PAUL COLNET,,,,,,,,,,
JULES COLLET,Jules Collet,,,,,,,,masculin,,
MARIUS GROUT,Marius Grout,,,,Le Havre,Fauville-en-Caux,écrivain ou écrivaine,France,masculin,1903-11-08T00:00:00Z,1946-05-01T00:00:00Z
JOSEPH DENEUVE,JOSEPH DENEUVE,,,,,,,,,,
ELOI PRUVOST,ELOI PRUVOST,,,,,,,,,,
LAZARE CARNOT,Lazare Carnot,domaine militaire,Lazare-Carnot-par-Boilly.jpg,français,Magdebourg,Nolay,mathématicien ou mathématicienne,France,masculin,1753-05-13T00:00:00Z,1823-08-02T00:00:00Z
ECOLE MATERNELLE LE COLOMBIER,LE COLOMBIER,,,,,,,,,,
VOYELLES,VOYELLES,,,,,,,,,,
LES HUCHES-FRANCOIS MITTERRAND,LES HUCHESFRANCOIS MITTERRAND,,,,,,,,,,
LES FABULETTES,LES FABULETTES,,,,,,,,,,
SAINT SEVER - SAINT CLEMENT,SAINT SEVER  SAINT CLEMENT,,,,,,,,,,
VAL SULLY,VAL SULLY,,,,,,,,,,
PIERRE DE RONSARD - FRANCOIS V,PIERRE DE RONSARD  FRANCOIS V,,,,,,,,,,
PAQUIER D'AUPRE,PAQUIER D'AUPRE,,,,,,,,,,
LEGOUY,LEGOUY,,,,,,,,,,
ELIZABETH ET MARGUERITE BRIERE,ELIZABETH ET MARGUERITE BRIERE,,,,,,,,,,
LUCIEN TREUFFET,LUCIEN TREUFFET,,,,,,,,,,
ACHILLE LEFORT,Achille Lefort,,,,Rouen,Somme,personnalité politique,France,masculin,1834-02-12T00:00:00Z,1912-03-03T00:00:00Z
MARIE PAPE CARPENTIER,Marie Pape-Carpantier,,Marie Pape Carpantier 1879 Mukarovsky.png,,Villiers-le-Bel,La Flèche,pédagogue,France,féminin,1815-09-10T00:00:00Z,1878-07-31T00:00:00Z
MAURICE NIBELLE,Maurice Nibelle,,,,Rouen,Rouen,personnalité politique,France,masculin,1860-02-13T00:00:00Z,1933-03-22T00:00:00Z
GUILLAUME LION,GUILLAUME LION,,,,,,,,,,
MARY POPPINS,MARY POPPINS,,,,,,,,,,
JACQUES EBERHARD,Jacques Eberhard,,JacquesEberhard.jpg,français,Montivilliers,Le Havre,personnalité politique,France,masculin,1919-05-25T00:00:00Z,2009-07-29T00:00:00Z
SAINT HILDEVERT,SAINT HILDEVERT,,,,,,,,,,
FLEURVILLE,FLEURVILLE,,,,,,,,,,
JOSEPH DEVAUX,Joseph Devaux,,,,,Bordeaux,météorologue,France,masculin,1902-08-31T00:00:00Z,1936-09-16T00:00:00Z
LES PETITS FEUILLOIS,LES PETITS FEUILLOIS,,,,,,,,,,
L'OISEAU DE FEU,L'OISEAU DE FEU,,,,,,,,,,
FERTEL,FERTEL,,,,,,,,,,
JEAN CAVAILLES,JEAN CAVAILLES,,,,,,,,,,
CURIE - JAURES,CURIE  JAURES,,,,,,,,,,
CESAIRE LEVILLAIN,Césaire Levillain,,,,Le Grand-Quevilly,Fresnoy-Folny,résistant ou résistante,France,masculin,1885-02-28T00:00:00Z,1944-03-08T00:00:00Z
PAUL ELUARD I,PAUL ELUARD I,,,,,,,,,,
LOUIS DE SAINT JUST,Louis Antoine de Saint-Just,,Saint Just.jpg,,Paris,Decize,personnalité politique,France,masculin,1767-08-25T00:00:00Z,1794-07-28T00:00:00Z
LES DOUANES,LES DOUANES,,,,,,,,,,
LA MAILLERAYE,LA MAILLERAYE,,,,,,,,,,
RENAISSANCE,RENAISSANCE,,,,,,,,,,
HENRY GENESTAL,Henry Genestal,,"Genestal, H. (Grand illustré du Havre, 1908-05) - detail.jpg",,Le Havre,Caen,personnalité politique,France,masculin,1840-11-22T00:00:00Z,1918-05-09T00:00:00Z
PAUL MULOT,PAUL MULOT,,,,,,,,,,
GILL GERYL,Gill Geryl,,,,,,personnalité politique,France,masculin,1949-07-23T00:00:00Z,
NORBERT HEDOUIN,NORBERT HEDOUIN,,,,,,,,,,
LOUIS DUTEURTRE,LOUIS DUTEURTRE,,,,,,,,,,
MAURICE DANTAN,MAURICE DANTAN,,,,,,,,,,
REMI BLONDEL,REMI BLONDEL,,,,,,,,,,
PROFESSEUR ROUX,PROFESSEUR ROUX,,,,,,,,,,
BENJAMIN FRANKLIN,Benjamin Franklin,physique,Joseph Siffrein Duplessis - Benjamin Franklin - Google Art Project.jpg,,Philadelphie,Boston,personnalité politique,Amérique britannique,masculin,1706-01-17T00:00:00Z,1790-04-17T00:00:00Z
MARIE HOUDEMARE,MARIE HOUDEMARE,,,,,,,,,,
SAINT LEON,SAINT LEON,,,,,,,,,,
JEAN BAPTISTE DE LA SALLE,Jean-Baptiste de La Salle,,John baptist de la salle 1.jpg,,Rouen,Reims,théologien ou théologienne,France,masculin,1651-04-30T00:00:00Z,1719-04-07T00:00:00Z
MARTHE CORNEILLE,MARTHE CORNEILLE,,,,,,,,,,
VAUQUELIN - DUBOCCAGE,VAUQUELIN  DUBOCCAGE,,,,,,,,,,
ALAIN GERBAULT,Alain Gerbault,,Alain Gerbault 1929.jpg,,Dili,Laval,explorateur ou exploratrice,France,masculin,1893-11-17T00:00:00Z,1941-12-16T00:00:00Z
PIERRE DEMONT,PIERRE DEMONT,,,,,,,,,,
JOLIOT CURIE A,JOLIOT CURIE A,,,,,,,,,,
L ORME AU CHAT,L ORME AU CHAT,,,,,,,,,,
EUGENE VOISIN,Eugène Voisin,,Voisin Eugene.jpg,,Joinville-le-Pont,Créteil,personnalité politique,France,masculin,1834-07-01T00:00:00Z,1914-01-01T00:00:00Z
LAMARTINE 1,LAMARTINE 1,,,,,,,,,,
JEAN CHARCOT,Jean-Baptiste Charcot,,Jean-Baptiste Charcot.jpg,,Islande,Neuilly-sur-Seine,médecin,France,masculin,1867-07-15T00:00:00Z,1936-09-16T00:00:00Z
LA VALLEE AUX RENARDS,LA VALLEE AUX RENARDS,,,,,,,,,,
ROSA LUXEMBOURG,Rosa Luxemburg,,Rosa Luxemburg.jpg,,Berlin,Zamość,personnalité politique,Allemagne,féminin,1871-03-05T00:00:00Z,1919-01-15T00:00:00Z
PARMENTIER A,PARMENTIER A,,,,,,,,,,
VAL DE BEAUTE,VAL DE BEAUTE,,,,,,,,,,
POULLART DES PLACES,Claude Poullart des Places,,Claude Poullart des Places as a priest.jpg,,Paris,Rennes,prêtre,France,masculin,1679-02-26T00:00:00Z,1709-10-02T00:00:00Z
MARCEL CACHIN A,MARCEL CACHIN A,,,,,,,,,,
PARC DES TILLEULS,PARC DES TILLEULS,,,,,,,,,,
LA PIE,LA PIE,,,,,,,,,,
LES CHALETS,LES CHALETS,,,,,,,,,,
LE PARC-EST,LE PARCEST,,,,,,,,,,
LES QUARANTE ARPENTS,LES QUARANTE ARPENTS,,,,,,,,,,
GRAND VAL,GRAND VAL,,,,,,,,,,
LES MONROIS,LES MONROIS,,,,,,,,,,
CITES UNIES,CITES UNIES,,,,,,,,,,
SAINT EXUPERY B,SAINT EXUPERY B,,,,,,,,,,
CLEMENT VIENOT,CLEMENT VIENOT,,,,,,,,,,
EST LIBERATION,EST LIBERATION,,,,,,,,,,
IRENE JOLIOT CURIE A,IRENE JOLIOT CURIE A,,,,,,,,,,
EUGENIE COTTON A,EUGENIE COTTON A,,,,,,,,,,
LA PETITE SAUSSAIE,LA PETITE SAUSSAIE,,,,,,,,,,
JUSSIENNE,JUSSIENNE,,,,,,,,,,
AVE MARIA,AVE MARIA,,,,,,,,,,
LYONNAIS,LYONNAIS,,,,,,,,,,
MOUFFETARD,MOUFFETARD,,,,,,,,,,
EBLE,EBLE,,,,,,,,,,
NOTRE-DAME DE JOIE,NOTREDAME DE JOIE,,,,,,,,,,
DE NAVARRE,DE NAVARRE,,,,,,,,,,
FLANCOURT CATELON,FLANCOURT CATELON,,,,,,,,,,
FORET LA FOLIE,FORET LA FOLIE,,,,,,,,,,
ORIENNE,ORIENNE,,,,,,,,,,
GUITRY,GUITRY,,,,,,,,,,
DU HAUT BOIS,DU HAUT BOIS,,,,,,,,,,
JACQUES DUPONT DE L'EURE,JACQUES DUPONT DE L'EURE,,,,,,,,,,
LE THUIT SIGNOL,LE THUIT SIGNOL,,,,,,,,,,
LES PRUNUS,LES PRUNUS,,,,,,,,,,
LES EMOTELLES,LES EMOTELLES,,,,,,,,,,
MAT PAULINE KERGOMARD,MAT PAULINE KERGOMARD,,,,,,,,,,
JEAN PREVOST,JEAN PREVOST,,,,,,,,,,
NOTRE-DAME SAINT LOUIS,NOTREDAME SAINT LOUIS,,,,,,,,,,
GASTON BACHELARD,Gaston Bachelard,philosophie des sciences,Gaston Bachelard.jpg,,9e arrondissement de Paris,Bar-sur-Aube,philosophe,France,masculin,1884-06-27T00:00:00Z,1962-10-16T00:00:00Z
LE FRANC MANOIR,LE FRANC MANOIR,,,,,,,,,,
DULONG,DULONG,,,,,,,,,,
ST AMAND DES HAUTES TERRES,ST AMAND DES HAUTES TERRES,,,,,,,,,,
HOTEL DE VILLE,HOTEL DE VILLE,,,,,,,,,,
LE FORESTIER,LE FORESTIER,,,,,,,,,,
CHATEAU SAINT LAZARE,CHATEAU SAINT LAZARE,,,,,,,,,,
MAT. LE MOUSSEL,MAT. LE MOUSSEL,,,,,,,,,,
ECOS,ECOS,,,,,,,,,,
(ACQUEVILLE),(ACQUEVILLE),,,,,,,,,,
RPI VIRIDOVIX,RPI VIRIDOVIX,,,,,,,,,,
MILTON E,MILTON E,,,,,,,,,,
PORTE D'IVRY,PORTE D'IVRY,,,,,,,,,,
GLACIERE D,GLACIERE D,,,,,,,,,,
BOULARD,BOULARD,,,,,,,,,,
SEVERO F,SEVERO F,,,,,,,,,,
FRANCOIS COPPEE,François Coppée,,François Coppée.jpg,français,7e arrondissement de Paris,Paris,dramaturge,France,masculin,1842-01-12T00:00:00Z,1908-05-23T00:00:00Z
DECAMPS,Alexandre-Gabriel Decamps,peinture,Alexandre Gabriel Decamps autoportrait.jpg,,Fontainebleau,Paris,artiste peintre,France,masculin,1803-03-03T00:00:00Z,1860-08-22T00:00:00Z
ALLIANCE GUSTAVE LEVEN,ALLIANCE GUSTAVE LEVEN,,,,,,,,,,
JOSEPH DE MAISTRE H,JOSEPH DE MAISTRE H,,,,,,,,,,
ST ISAURE,ST ISAURE,,,,,,,,,,
FERDINAND FLOCON,Ferdinand Flocon,,Flocon 1848.JPG,français,Lausanne,Paris,personnalité politique,France,masculin,1800-11-01T00:00:00Z,1866-05-15T00:00:00Z
HOUDON,Jean-Antoine Houdon,,Jean antoine houdon-rembrandt peale.jpg,,Paris,Versailles,sculpteur ou sculptrice,France,masculin,1741-03-20T00:00:00Z,1828-07-15T00:00:00Z
EVANGILE,EVANGILE,,,,,,,,,,
BARBANEGRE EA,BARBANEGRE EA,,,,,,,,,,
EUGENIE COTTON EA,EUGENIE COTTON EA,,,,,,,,,,
TANGER EB,TANGER EB,,,,,,,,,,
COLETTE MAGNY B,COLETTE MAGNY B,,,,,,,,,,
RIBLETTE EA,RIBLETTE EA,,,,,,,,,,
CENDRIERS,CENDRIERS,,,,,,,,,,
OLIVIER METRA P,OLIVIER METRA P,,,,,,,,,,
HEIKHAL MENAHEM SINAI,HEIKHAL MENAHEM SINAI,,,,,,,,,,
BOULANGERS,BOULANGERS,,,,,,,,,,
SAINT-PIERRE DE CHAILLOT,SAINTPIERRE DE CHAILLOT,,,,,,,,,,
SCHWARTZENBERG,SCHWARTZENBERG,,,,,,,,,,
REPUBLIQUE A,REPUBLIQUE A,,,,,,,,,,
TROIS BORNES,TROIS BORNES,,,,,,,,,,
RICHARD LENOIR,RICHARD LENOIR,,,,,,,,,,
ST-ANNE SAINTE-MARIE,STANNE SAINTEMARIE,,,,,,,,,,
BRILLAT SAVARIN,Jean Anthelme Brillat-Savarin,gastronomie,Le Vachez Collection - Jean Anthelme Brillat-Savarin (1755-1826).jpg,français,rue des Filles-Saint-Thomas,hôtel Brillat-Savarin,avocat ou avocate,France,masculin,1755-04-01T00:00:00Z,1826-02-02T00:00:00Z
ALESIA V,ALESIA V,,,,,,,,,,
ANTOINE CHANTIN H,ANTOINE CHANTIN H,,,,,,,,,,
FALGUIERE,Alexandre Falguière,,Carolus-Duran - Portrait d'Alexandre Falguière - PPP453 - Musée des Beaux-Arts de la ville de Paris.jpg,,6e arrondissement de Paris,Toulouse,sculpteur ou sculptrice,France,masculin,1831-09-07T00:00:00Z,1900-04-19T00:00:00Z
EMERIAU W,EMERIAU W,,,,,,,,,,
PAUL VALERY C,PAUL VALERY C,,,,,,,,,,
JACQUES KELLNER,Jacques Kellner,,,,forteresse du Mont-Valérien,16e arrondissement de Paris,ingénieur,France,masculin,1894-07-05T00:00:00Z,1942-03-21T00:00:00Z
COMPANS,Richard W. Compans,,,,,,chercheur ou chercheuse,,masculin,1940-01-01T00:00:00Z,
TANDOU,TANDOU,,,,,,,,,,
SIMON BOLIVAR EB,SIMON BOLIVAR EB,,,,,,,,,,
PALESTINE,PALESTINE,,,,,,,,,,
MANIN EB,MANIN EB,,,,,,,,,,
MAROC,MAROC,,,,,,,,,,
HENRI NOGUERES,Henri Noguères,,,,19e arrondissement de Paris,Bages,personnalité politique,France,masculin,1916-11-13T00:00:00Z,1990-11-14T00:00:00Z
BELLEVILLE H,BELLEVILLE H,,,,,,,,,,
ETIENNE DOLET,Étienne Dolet,philologie,Étienne Dolet.jpg,,Paris,Orléans,linguiste,France,masculin,1509-08-03T00:00:00Z,1546-08-03T00:00:00Z
LE VAU EB,LE VAU EB,,,,,,,,,,
PIERRE FONCIN H,PIERRE FONCIN H,,,,,,,,,,
REUNION,REUNION,,,,,,,,,,
VERTUS,VERTUS,,,,,,,,,,
SAINT JEAN GABRIEL,SAINT JEAN GABRIEL,,,,,,,,,,
CHOMEL,CHOMEL,,,,,,,,,,
RAPP,Wilhelm Ludwig Rapp,,Wilhelm von Rapp 1794-1868.jpg,,Tübingen,Stuttgart,zoologiste,Royaume du Wurtemberg,masculin,1794-06-03T00:00:00Z,1868-11-11T00:00:00Z
ROCHECHOUART L,ROCHECHOUART L,,,,,,,,,,
PIERRE BULLET,Pierre Bullet,,"Bullet - Traité de l'usage du pantometre, 1675 - 67493.jpg",,Paris,Paris,architecte,France,masculin,1639-01-01T00:00:00Z,1716-11-23T00:00:00Z
TROIS BORNES F,TROIS BORNES F,,,,,,,,,,
DURANTI,DURANTI,,,,,,,,,,
BERCY N,BERCY N,,,,,,,,,,
FAGON,Guy-Crescent Fagon,,Ambroise Tardieu18.jpg,,Paris,Paris,botaniste,France,masculin,1638-05-11T00:00:00Z,1718-03-11T00:00:00Z
ALAIN FOURNIER J,ALAIN FOURNIER J,,,,,,,,,,
BLOMET,BLOMET,,,,,,,,,,
LES SAINTS-ANGES,LES SAINTSANGES,,,,,,,,,,
ROUELLE,ROUELLE,,,,,,,,,,
SAINT-HONORE D'EYLAU,SAINTHONORE D'EYLAU,,,,,,,,,,
EURECOLE,EUR,,,,,,,,,,
AMPERE C,AMPERE C,,,,,,,,,,
BESSIERES P,BESSIERES P,,,,,,,,,,
PAJOL,Pierre Claude Pajol,,Le Général Pajol (1772-1844).jpg,français,Paris,Besançon,personnalité politique,France,masculin,1772-02-03T00:00:00Z,1844-03-20T00:00:00Z
MANIN EA,MANIN EA,,,,,,,,,,
SADI LECOINTE,SADI LECOINTE,,,,,,,,,,
TANDOU P,TANDOU P,,,,,,,,,,
BRETONNEAU,Pierre Bretonneau,,Pierre-Fidèle Bretonneau (1778-1862) âgé 2.jpg,,16e arrondissement de Paris,Saint-Georges-sur-Cher,médecin,France,masculin,1778-04-03T00:00:00Z,1862-02-18T00:00:00Z
OLIVIER METRA EB,OLIVIER METRA EB,,,,,,,,,,
THEODORE MONOD,THEODORE MONOD,,,,,,,,,,
LA PETITE COLLINE,LA PETITE COLLINE,,,,,,,,,,
MOURAUD T,MOURAUD T,,,,,,,,,,
MARIE-LOUISE GASTARD,MARIELOUISE GASTARD,,,,,,,,,,
SAINT-SAUVEUR,SAINTSAUVEUR,,,,,,,,,,
STE HELENE,STE HELENE,,,,,,,,,,
MOUFFETARD M,MOUFFETARD M,,,,,,,,,,
YANN ARTHUS BERTRAND,Yann Arthus-Bertrand,,"Yann Arthus-Bertrand, 2009 (cropped).jpg",,,Paris,artiste peintre,France,masculin,1946-03-13T00:00:00Z,
SAINT-AMBROISE,SAINTAMBROISE,,,,,,,,,,
GODEFROY CAVAIGNAC,GODEFROY CAVAIGNAC,,,,,,,,,,
N D DE KERDROGUEN,N D DE KERDROGUEN,,,,,,,,,,
ELISA LEMONNIER,Élisa Lemonnier,,Élisa Lemonnier 1805-1865.gif,,8e arrondissement de Paris,Sorèze,éducateur ou éducatrice,France,féminin,1805-03-24T00:00:00Z,1865-06-05T00:00:00Z
LE TAUREAU BLEU,LE TAUREAU BLEU,,,,,,,,,,
DUNOIS,DUNOIS,,,,,,,,,,
CROULEBARBE,CROULEBARBE,,,,,,,,,,
CATHERINE DESCARTES,Catherine Descartes,,,,Rennes,Elven,poète ou poétesse,France,féminin,1637-12-12T00:00:00Z,1715-06-09T00:00:00Z
ALESIA,ALESIA,,,,,,,,,,
DE L'EVEL,DE L'EVEL,,,,,,,,,,
