Patronyme,patronyme_prepare,domaine d'activité,image,langue maternelle,lieu de mort,lieu de naissance,occupation,pays de nationalité,sexe ou genre,date de naissance,date de mort
PAUL FLICKINGER,Paul Flickinger,,,,,Colmar,artiste peintre,France,masculin,1941-08-11T00:00:00Z,
AMBROISE THOMAS,Ambroise Thomas,spectacle vivant,Ambroise Thomas 2.jpg,,rue du Conservatoire,Metz,compositeur ou compositrice,France,masculin,1811-08-05T00:00:00Z,1896-02-12T00:00:00Z
LE PATURAL,LE PATURAL,,,,,,,,,,
LE PETIT PRINCE,LE PETIT PRINCE,,,,,,,,,,
SAINT EXUPERY,Antoine de Saint-Exupéry,belles-lettres,11exupery-inline1-500.jpg,français,île de Riou,2e arrondissement de Lyon,aviateur ou aviatrice,France,masculin,1900-06-29T00:00:00Z,1944-07-31T00:00:00Z
ECOLE MATERNELLE BICULTURELLE,BICULTURELLE,,,,,,,,,,
LES PETITS CASTORS,LES PETITS CASTORS,,,,,,,,,,
DES QUATRE FEUILLES,DES QUATRE FEUILLES,,,,,,,,,,
CENTRE J. PREVERT,J. PREVERT,,,,,,,,,,
J-Y. COUSTEAU,JY. COUSTEAU,,,,,,,,,,
SAINT ELOY LES COCCINELLES,SAINT ELOY LES COCCINELLES,,,,,,,,,,
LE TRAIN DU ROI,LE TRAIN DU ROI,,,,,,,,,,
ST ELOY P. ET M. CURIE,ST ELOY P. ET M. CURIE,,,,,,,,,,
LE CHAMBOURG,LE CHAMBOURG,,,,,,,,,,
J. PREVERT,J. PREVERT,,,,,,,,,,
ROBERT SCHUMAN,Robert Schuman,,Robert Schuman 1958.jpg,luxembourgeois,Scy-Chazelles,Luxembourg,personnalité politique,France,masculin,1886-06-29T00:00:00Z,1963-09-04T00:00:00Z
PASTEUR,Louis Pasteur,chimie,"Louis Pasteur (1822 - 1895), microbiologist and chemist Wellcome V0026980.jpg",,château de Villeneuve-l'Étang,Dole,microbiologiste,France,masculin,1822-12-27T00:00:00Z,1895-09-28T00:00:00Z
MATERNELLE - ALLARMONT,ALLARMONT,,,,,,,,,,
LE SOUCHE - ANOULD,LE SOUCHE  ANOULD,,,,,,,,,,
CENTRE - ARCHES,ARCHES,,,,,,,,,,
CENTRE NICOLE HERRY - CLEFCY,NICOLE HERRY  CLEFCY,,,,,,,,,,
PRIMAIRE - BASSE-SUR-LE-RUPT,BASSESURLERUPT,,,,,,,,,,
VICTOR HUGO - BAUDRICOURT,VICTOR HUGO  BAUDRICOURT,,,,,,,,,,
ÉLÉMENTAIRE - BAYÉCOURT,BAYÉCOURT,,,,,,,,,,
ELEMENTAIRE - BEGNECOURT,BEGNECOURT,,,,,,,,,,
ÉLÉMENTAIRE - BELMONT/BUTTANT,BELMONT/BUTTANT,,,,,,,,,,
ELEMENTAIRE - BELMONT VAIR,BELMONT VAIR,,,,,,,,,,
ÉLÉMENTAIRE - BERTRIMOUTIER,BERTRIMOUTIER,,,,,,,,,,
PRIMAIRE - BULT,BULT,,,,,,,,,,
MATERNELLE - CHAMAGNE,CHAMAGNE,,,,,,,,,,
JULIA COLIN - CHANTRAINE,JULIA COLIN  CHANTRAINE,,,,,,,,,,
DOCTEUR MALGAIGNE - CHARMES,DOCTEUR MALGAIGNE  CHARMES,,,,,,,,,,
ELEMENTAIRE JULIE-V DAUBIE,JULIEV DAUBIE,,,,,,,,,,
JEAN VIROT - CHATENOIS,JEAN VIROT  CHATENOIS,,,,,,,,,,
ELEMENTAIRE - CHAUMOUSEY,CHAUMOUSEY,,,,,,,,,,
PRIMAIRE - CHAVELOT,CHAVELOT,,,,,,,,,,
PRIMAIRE - CHENIMENIL,CHENIMENIL,,,,,,,,,,
PRIMAIRE - COLROY-LA-GRANDE,COLROYLAGRANDE,,,,,,,,,,
CENTRE - CORNIMONT,CORNIMONT,,,,,,,,,,
ÉLÉMENTAIRE - DAMAS-AUX-BOIS,DAMASAUXBOIS,,,,,,,,,,
PRIMAIRE - DAMBLAIN,DAMBLAIN,,,,,,,,,,
LOUIS POIROT - DINOZE,LOUIS POIROT  DINOZE,,,,,,,,,,
ELEMENTAIRE - DOMMARTIN-LES-RT,DOMMARTINLESRT,,,,,,,,,,
PRIMAIRE - DOMPAIRE,DOMPAIRE,,,,,,,,,,
ÉLÉMENTAIRE - DOMPIERRE,DOMPIERRE,,,,,,,,,,
FANNY SALMON - ELOYES,FANNY SALMON  ELOYES,,,,,,,,,,
CHAMPBEAUVERT - EPINAL,CHAMPBEAUVERT  EPINAL,,,,,,,,,,
EUGENE ROSSIGNOL - EPINAL,EUGENE ROSSIGNOL  EPINAL,,,,,,,,,,
LUC ESCANDE - EPINAL,LUC ESCANDE  EPINAL,,,,,,,,,,
MAURICE RAVEL - EPINAL,MAURICE RAVEL  EPINAL,,,,,,,,,,
PAUL EMILE VICTOR - EPINAL,PAUL EMILE VICTOR  EPINAL,,,,,,,,,,
AMBRAIL - EPINAL,AMBRAIL  EPINAL,,,,,,,,,,
VICTOR HUGO - EPINAL,VICTOR HUGO  EPINAL,,,,,,,,,,
149EME RI - EPINAL,149EME RI  EPINAL,,,,,,,,,,
GUILGOT - EPINAL,GUILGOT  EPINAL,,,,,,,,,,
EMILE DURKHEIM - EPINAL,EMILE DURKHEIM  EPINAL,,,,,,,,,,
MATERNELLE - FAUCONCOURT,FAUCONCOURT,,,,,,,,,,
DES PETITS ERUDITS - FRESSE M.,DES PETITS ERUDITS  FRESSE M.,,,,,,,,,,
ÉLÉMENTAIRE - FRIZON,FRIZON,,,,,,,,,,
BAS BEILLARD - GÉRARDMER,BAS BEILLARD  GÉRARDMER,,,,,,,,,,
PRIMAIRE - GIRMONT,GIRMONT,,,,,,,,,,
CENTRE - GOLBEY,GOLBEY,,,,,,,,,,
BEAULIEU - GOLBEY,BEAULIEU  GOLBEY,,,,,,,,,,
PRIMAIRE - GRAND,GRAND,,,,,,,,,,
JOSEPH PIROUX - HADIGNY-LES-V.,JOSEPH PIROUX  HADIGNYLESV.,,,,,,,,,,
ÉLÉMENTAIRE - HAILLAINVILLE,HAILLAINVILLE,,,,,,,,,,
PRIMAIRE - HENNECOURT,HENNECOURT,,,,,,,,,,
CENTRE - HENNEZEL,HENNEZEL,,,,,,,,,,
PRIMAIRE - HOUECOURT,HOUECOURT,,,,,,,,,,
PRIMAIRE - HOUSSERAS,HOUSSERAS,,,,,,,,,,
CENTRE - JEANMENIL,JEANMENIL,,,,,,,,,,
PRIMAIRE - JEUXEY,JEUXEY,,,,,,,,,,
PRE DES MOINES - LA PETITE-RAO,PRE DES MOINES  LA PETITERAO,,,,,,,,,,
CENTRE - LA VOIVRE,LA VOIVRE,,,,,,,,,,
PRIMAIRE - LE CLERJUS,LE CLERJUS,,,,,,,,,,
AIME CHEVRIER - LE MENIL,AIME CHEVRIER  LE MENIL,,,,,,,,,,
ÉLÉMENTAIRE - LE PUID,LE PUID,,,,,,,,,,
MATERNELLE - LES FORGES,LES FORGES,,,,,,,,,,
CENTRE - MIRECOURT,MIRECOURT,,,,,,,,,,
JOSEPH BEY - MIRECOURT,JOSEPH BEY  MIRECOURT,,,,,,,,,,
PERVIS - MONTHUREUX-SUR-SAONE,PERVIS  MONTHUREUXSURSAONE,,,,,,,,,,
ELEMENTAIRE - MOYEMONT,MOYEMONT,,,,,,,,,,
LE TAMBOUR - MOYENMOUTIER,LE TAMBOUR  MOYENMOUTIER,,,,,,,,,,
CENTRE - NAYEMONT-LES-FOSSES,NAYEMONTLESFOSSES,,,,,,,,,,
JEAN JAURES - NEUFCHATEAU,JEAN JAURES  NEUFCHATEAU,,,,,,,,,,
ÉLÉMENTAIRE - NEUVILLERS/FAVE,NEUVILLERS/FAVE,,,,,,,,,,
ELEMENTAIRE - PIERREPONT L'AR.,PIERREPONT L'AR.,,,,,,,,,,
CENTRE - PROVENCHERES FAVE,PROVENCHERES FAVE,,,,,,,,,,
JULES FERRY - RAMBERVILLERS,JULES FERRY  RAMBERVILLERS,,,,,,,,,,
PRIMAIRE - RAON-AUX-BOIS,RAONAUXBOIS,,,,,,,,,,
LA MAIX - REMIREMONT,LA MAIX  REMIREMONT,,,,,,,,,,
PRIMAIRE - ROCHESSON,ROCHESSON,,,,,,,,,,
ELEMENTAIRE - ROVILLE-AUX-CH.,ROVILLEAUXCH.,,,,,,,,,,
SAULX - RUPT-SUR-MOSELLE,SAULX  RUPTSURMOSELLE,,,,,,,,,,
CENTRE - ST-BENOIT-LA-CHIPOTTE,STBENOITLACHIPOTTE,,,,,,,,,,
FERDINAND BRUNOT - SAINT-DIE,FERDINAND BRUNOT  SAINTDIE,,,,,,,,,,
VINCENT AURIOL - SAINT-DIE,VINCENT AURIOL  SAINTDIE,,,,,,,,,,
NOTRE-DAME DE LA PROVIDENCE,NOTREDAME DE LA PROVIDENCE,,,,,,,,,,
BALDENSPERGER - SAINT-DIE,BALDENSPERGER  SAINTDIE,,,,,,,,,,
PAUL ELBEL - SAINT-DIE,PAUL ELBEL  SAINTDIE,,,,,,,,,,
PRIMAIRE - SAINTE-HELENE,SAINTEHELENE,,,,,,,,,,
SEUX - SAINT-ETIENNE-LES-RT,SEUX  SAINTETIENNELESRT,,,,,,,,,,
ELEMENTAIRE - SAINT-REMIMONT,SAINTREMIMONT,,,,,,,,,,
CENTRE - SAPOIS,SAPOIS,,,,,,,,,,
E. PERRIN G. SAND - SENONES,E. PERRIN G. SAND  SENONES,,,,,,,,,,
LEON JACQUEMIN - THIEFOSSE,LEON JACQUEMIN  THIEFOSSE,,,,,,,,,,
ELEMENTAIRE - VALFROICOURT,VALFROICOURT,,,,,,,,,,
PRIMAIRE - VAXONCOURT,VAXONCOURT,,,,,,,,,,
MATERNELLE - VIMENIL,VIMENIL,,,,,,,,,,
G. ET H. VOILQUIN,G. ET H. VOILQUIN,,,,,,,,,,
PETIT BAN - VITTEL,PETIT BAN  VITTEL,,,,,,,,,,
DES 2 LACS - XONRUPT-LONGEMER,DES 2 LACS  XONRUPTLONGEMER,,,,,,,,,,
JEANINE LAMBEAU,JEANINE LAMBEAU,,,,,,,,,,
CLEMENT ADER,Clément Ader,génie mécanique,Clément Ader en 1910.jpg,,Toulouse,Muret,ingénieur,France,masculin,1841-04-02T00:00:00Z,1925-05-03T00:00:00Z
SAINT-REMI,SAINTREMI,,,,,,,,,,
KENNEDY   JEAN JAURES,KENNEDY   JEAN JAURES,,,,,,,,,,
DES LIEGEOIS,DES LIEGEOIS,,,,,,,,,,
LA CITADELLE,LA CITADELLE,,,,,,,,,,
