UAI,Secteur,Nombre d'élèves,Latitude WGS84,Longitude WGS84,Niveau
0270128T,PUBLIC,49,48.9686447055099,1.09699005131791,École
0270892Y,PUBLIC,17,48.8735014413666,0.666390574780222,École
0271696X,PUBLIC,49,49.2296704487999,1.34196146979291,École
0270979T,PUBLIC,35,49.2172021514777,1.3750419917394,École
0271293J,PUBLIC,202,49.2080307437904,1.15352052738572,École
0271800K,PUBLIC,129,49.221077123118,1.17126978901229,École
0270188H,PUBLIC,60,49.3994049287228,1.47450401993856,École
0270165H,PUBLIC,87,49.3724686103266,1.67954056770014,École
0270668E,PUBLIC,37,49.3718141784633,0.31154984055529,École
0270874D,PUBLIC,99,48.8325418378228,1.20061963967976,École
0271535X,PUBLIC,150,49.0361253630584,1.36060977572219,École
0271565E,PUBLIC,104,49.0131514563193,0.703669640818812,École
0271211V,PRIVE,346,48.8675742367526,1.07147949033501,École
0271560Z,PUBLIC,36,49.3825629155895,1.59038059674519,École
0270587S,PUBLIC,14,,,École
0270839R,PUBLIC,37,48.9230936956039,0.934499904058391,École
0271426D,PUBLIC,68,49.4145801374968,1.37291964256281,École
0271518D,PUBLIC,67,49.2428424002724,0.703030395425955,École
0271683H,PUBLIC,229,49.3027472619157,1.15904052271392,École
0270083U,PUBLIC,131,49.3030068720938,1.1564901921432,École
0271277S,PUBLIC,43,49.1057759630466,1.01050020265209,École
0270499W,PUBLIC,69,49.0783845974981,1.22236938001629,École
0270781C,PUBLIC,113,49.3737783028473,0.746779535032666,École
0270395H,PUBLIC,109,48.9056198247617,1.27289007472175,École
0270077M,PUBLIC,125,48.902747238659,1.276539707938,École
0270904L,PUBLIC,22,48.8334268114037,0.667939799459162,École
0270410Z,PUBLIC,121,49.2382971649602,1.03046022837575,École
0270972K,PUBLIC,21,49.1211606936779,1.39881943478534,École
0271611E,PUBLIC,97,48.7915670552755,1.36393007419884,École
0271152F,PUBLIC,82,49.0474190923984,0.404769358916128,École
0271525L,PUBLIC,112,49.3564293501163,0.89334579270525,École
0270443K,PUBLIC,53,49.2931994162726,0.946749491866473,École
